Team 1                ,Team 2              ,Spread 1 ,Spread 2 ,Moneyline 1 ,Moneyline 2 ,Over  ,Under
Tennessee Titans      ,Miami Dolphins      ,   2.040 ,   1.877 ,      2.310 ,      1.689 ,1.909 ,1.980
Seattle Seahawks      ,Detroit Lions       ,   1.970 ,   1.934 ,      2.810 ,      1.490 ,1.884 ,2.010
Texas State           ,Troy                ,   1.884 ,   1.970 ,      1.150 ,      5.490 ,1.925 ,1.909
Sam Houston State     ,UTEP                ,   1.934 ,   1.909 ,      1.234 ,      4.180 ,1.909 ,1.925
Tampa Bay Buccaneers  ,Atlanta Falcons     ,   1.917 ,   1.970 ,      2.200 ,      1.740 ,1.869 ,2.000
Jacksonville State    ,Kennesaw State      ,   1.925 ,   1.925 ,      1.144 ,      5.640 ,1.900 ,1.934
South Alabama         ,Arkansas State      ,   1.934 ,   1.917 ,      1.645 ,      2.320 ,1.917 ,1.917
Nevada                ,San Jose State      ,   1.943 ,   1.909 ,      3.270 ,      1.352 ,1.917 ,1.917
Houston               ,TCU                 ,   1.925 ,   1.925 ,      6.380 ,      1.117 ,1.925 ,1.909
Hawaii                ,San Diego State     ,   1.909 ,   1.943 ,      2.100 ,      1.775 ,1.925 ,1.909
Michigan State        ,Oregon              ,   1.917 ,   1.934 ,     11.800 ,      1.041 ,1.892 ,1.943
Syracuse              ,UNLV                ,   1.943 ,   1.909 ,      3.050 ,      1.395 ,1.943 ,1.892
Winnipeg Blue Bombers ,Hamilton Tiger-Cats ,   1.934 ,   1.934 ,      1.483 ,      2.780 ,1.925 ,1.925
Calgary Stampeders    ,BC Lions            ,   1.952 ,   1.917 ,      4.040 ,      1.271 ,1.925 ,1.925
Massachusetts         ,Northern Illinois   ,   1.877 ,   1.980 ,      6.820 ,      1.105 ,1.917 ,1.917
Navy                  ,Air Force           ,   1.925 ,   1.925 ,      1.284 ,      3.720 ,1.952 ,1.884
SMU                   ,Louisville          ,   1.884 ,   1.970 ,      3.180 ,      1.367 ,1.909 ,1.925
Wake Forest           ,NC State            ,   1.925 ,   1.925 ,      2.730 ,      1.480 ,1.917 ,1.917
UCLA                  ,Penn State          ,   1.970 ,   1.884 ,     19.440 ,      1.016 ,1.909 ,1.925
Pittsburgh            ,North Carolina      ,   1.990 ,   1.869 ,      1.704 ,      2.210 ,1.917 ,1.917
